"QTAG","NumOfCorrect","NumOfAnswer","CorrectProportion","TEXT"
"Q46",23883,40001,0.597060073498163,"【變調文白讀】當用「老」加上姓氏稱呼其他人，以下邊個姓氏不變調？ [分數]"
"Q47",7957,39829,0.1997790554621,"【變調文白讀】以下邊啲字有變調？（多選） [分數]"
"Q48",29635,39581,0.748717819155655,"【變調文白讀】以下邊個字冇文白異讀？ [分數]"
"Q49",26866,39607,0.678314439366779,"【變調文白讀】以下邊個字冇文白異讀？ [分數]_1"
"Q50",35695,39837,0.896026307201848,"【詞嘅構造】以下邊個 *唔能夠* 獨立地構成一個詞？ [分數]"
"Q51",7314,39770,0.183907467940659,"【詞嘅構造】以下邊個合成詞係由動賓（verb-object）結構組成？（多選） [分數]"
"Q52",14864,38964,0.38148034082743,"【詞嘅構造】以下邊個合成詞係由偏正（modifier-head）結構組成？（多選） [分數]"
"Q53",25550,39711,0.643398554556672,"【句意邏輯】下列邊一組句子互相矛盾（無法同時為真）？ [分數]"
"Q54",33784,39761,0.849676818993486,"【句意邏輯】以下邊一項並 *唔係*「我大佬同阿Sam好耐冇見。」嘅預設（presupposition）？ [分數]"
"Q55",21474,39691,0.541029452520723,"【句意邏輯】將以下邊個詞放到 __ *唔會* 令兩句句子有相同（或相近）嘅意思？ [分數]"
"Q56",20897,39739,0.525856211781877,"【句意邏輯】「我跑得多過阿明。」可以描述以下邊個情況？（多選） [分數]"
"Q57",2967,39675,0.0747826086956522,"【句意邏輯】以下邊句句子入面「乜野」可以帶有疑問意思？ [分數]"
"Q58",18481,39630,0.46633863234923,"【語法分析】「阿明餵飽咗隻貓」，餵嘅係阿明，飽嘅係隻貓。下列邊句有相似嘅論元結構？ [分數]"
"Q59",18535,39550,0.468647281921618,"【語法分析】「阿明鍾意落酒吧。」請搵出句中嘅限定動詞（finite verb，句子最主要做謂語嗰個動詞）。 [分數]"
"Q60",8040,39536,0.203358963982193,"【語法分析】「你知唔知阿明鍾意阿芬呢？」請問呢個疑問句屬於咩類型呢？ [分數]"
"Q61",19162,39521,0.484856152425293,"【語法分析】以下邊個係粵語嘅指示詞？ [分數]"
"Q62",14655,39329,0.37262579775738,"【語法分析】以下對廣東話語法嘅描述邊個係正確嘅？（多選） [分數]"
"Q63",33237,39510,0.84123006833713,"【虛詞用法】以下邊句嘅「咩」同其他三句嘅「咩」唔同？ [分數]"
"Q64",23814,39478,0.603222047722782,"【虛詞用法】以下邊句嘅「住」同其他三句嘅「住」唔同？ [分數]"
"Q65",29159,39430,0.739513061120974,"【虛詞用法】以下邊句嘅「親」同其他三句嘅「親」唔同？ [分數]"
"Q66",37461,39449,0.949605820172881,"【虛詞用法】以下邊句嘅「佢」同其他三句嘅「佢」唔同？ [分數]"
"Q67",14465,39411,0.367029509527797,"【虛詞用法】「阿明同阿珍借錢」係有歧義嘅句子，佢嘅意思可以係：（多選） [分數]"
"Q68",18688,39389,0.474447180684963,"【俗語】「燉冬菇」呢個詞嘅起源係同邊個職業有關？ [分數]"
"Q69",13378,39311,0.340311871995116,"【俗語】「二打六」（無關重要嘅角色）呢個詞係點嚟？ [分數]"
"Q70",24995,39197,0.637676352782101,"【俗語】以下邊個係「迴光返照」嘅出處同原意？ [分數]"
"Q71",21625,39074,0.553437068127143,"【俗語】「雖無過，面目可」係20世紀廣東話嘅俗語，以下邊個係「雖無過，面目可」嘅正確意思？ [分數]"
"Q72",23215,39183,0.592476329020238,"【俗語】以下邊個係對「竹升仔/妹」嘅正確描述？ [分數]"
"Q73",6553,39124,0.167493098865147,"【俗語】以下邊個 *唔係* 委婉語？ [分數]"
"Q74",10187,39257,0.25949512188909,"【粵拼】以下邊個字係粵拼 j 聲母嘅字？ [分數]"
"Q75",9374,39379,0.238045658853704,"【粵拼】「見字飲水」用粵拼應該點標示？ [分數]"
"Q76",26446,39292,0.673063218975873,"【粵拼】粵拼「taam3」標示以下邊個字嘅發音？ [分數]"
"Q77",25782,39242,0.657000152897406,"【粵拼】粵拼「gui6」標示以下邊個字嘅發音？ [分數]"
"Q78",5669,39362,0.144022153345867,"【粵拼】粵拼有幾多個聲調？ [分數]"
"Q79",27920,39278,0.710830490350833,"【發音與語音系統】以下邊個字 *唔包含* 鼻音？ [分數]"
"Q80",15045,38873,0.387029557790754,"【發音與語音系統】經典急口令「入十個實驗室撳實十個緊急制」之中，有幾多個入聲字？重複出現計兩個字。 [分數]"
"Q81",6234,38873,0.160368379080596,"【發音與語音系統】以下邊組字嘅聲母發音方法（ｍanner of articulation）一樣？ [分數]"
"Q82",24147,38418,0.628533499921912,"【發音與語音系統】以下邊啲輔音（以粵拼標示）喺粵語既可以做聲母，又可以做韻尾？ [分數]"
"Q83",15069,38368,0.392749165971643,"【發音與語音系統】以下邊個音節並唔存在？ [分數]"
"Q84a",35397,38970,0.908314087759815,"【歷史】請配對舊粵語字同現代粵語字： [唨] [分數]"
"Q84b",35086,38920,0.901490236382323,"【歷史】請配對舊粵語字同現代粵語字： [喫] [分數]"
"Q84c",34942,38951,0.897075813201202,"【歷史】請配對舊粵語字同現代粵語字： [甪] [分數]"
"Q85",12257,38918,0.314944241739041,"【歷史】「實首」係19世紀廣東話所用嘅一個詞，以下邊個係「實首」嘅正確意思？ [分數]"
"Q86",4945,38966,0.126905507365395,"【歷史】以下邊個係19世紀廣東話表達「百葉窗」所用嘅詞？ [分數]"
"Q87",6909,39205,0.176227521999745,"【歷史】以下邊個係19世紀廣東話表達「出發」所用嘅詞？ [分數]"
"Q88",8301,39259,0.211441962352582,"【歷史】以下邊個係19世紀廣東話表達「唔該」所用嘅詞？ [分數]"
"Q89",4712,39483,0.119342501836233,"【歷史】以下邊啲係外來詞？（多選） [分數]"
"Q90",12075,38087,0.31703730931814,"【社會】以下邊個係「譚仔話」嘅常見特色？ [分數]"
"Q91",10806,37827,0.285668966611151,"【社會】以下邊兩種廣東話發音變異嘅情況喺母語者當中比較常見？（選兩項） [分數]"
"Q92",11733,37322,0.314372220138256,"【社會】粵語流行曲填詞一般講求旋律、聲調要「契合」，如果唔係就會覺得「唔啱音」。以下邊組聲調嘅字可以喺填詞嘅時候自由互換？ [分數]"
"Q93",14195,37576,0.3777677240792,"【社會】S-language 係一隻源自女校嘅加密語言，可以將廣東話加密，喺以前一套戲《初戀無限Touch》入面都出現過。如果我想用 S-language 講「我鍾意你」，要點樣講呢？ [分數]"
"Q94",9682,37862,0.255718134277112,"【社會】根據1911年嘅人口普查，當時沙田區最普遍嘅語言係客家話，常用語言係粵語嘅人只係佔沙田區人口嘅： [分數]"
"Q95",15622,37308,0.41873056717058,"【社會】「悲屈聽」係咩用語？ [分數]"
"Q96a",16335,34748,0.470098998503511,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [合] [分數]"
"Q96b",21137,34872,0.606130993347098,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [乙] [分數]"
"Q96c",3278,34527,0.0949401917340053,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [上] [分數]"
"Q96d",17437,34569,0.50441146692123,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [尺] [分數]"
"Q96e",19937,34791,0.573050501566497,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [反] [分數]"
"Q96f",18472,34684,0.532579863914197,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [六] [分數]"
"Q96g",16750,34574,0.484468097414242,"【社會】請配對以下「工尺譜」嘅廣東話讀音： [五] [分數]"
"Q97",17175,37797,0.454401142947853,"【語法學】學界習慣喺句子開頭用乜嘢符號，表示句子唔合語法？ [分數]"
"Q98",13492,38451,0.350888143351278,"【語法學】廣東話嘅「過」字有以下邊啲意思/用法？（多選） [分數]"
"Q99",21116,38221,0.552471154600874,"【語法學】「肥咗三次佬」嘅「佬」，最 *唔應該* 分析為乜嘢？ [分數]"
"Q100",19701,37790,0.521328393754962,"【語法學】以下邊句屬於易位句？ [分數]"
"Q101",6187,36033,0.171703716038076,"【語法學】請選出最準確描述疑問類型嘅句末助詞（eg. 吓話、哦嗬、嗎）喺句法樹上位置嘅選項。 [分數]"
"Q102",3363,36202,0.0928954201425336,"【語法學】以下邊個對粵語語法嘅描述係正確嘅？（多選） [分數]"
"Q103",11656,37365,0.311949685534591,"【傳統音韻學】廣東話保留咗中古漢語嘅邊啲調類呢？（多選） [分數]"
"Q104",12861,37078,0.34686336911376,"【傳統音韻學】以下邊個係粵語聲調嘅名？ [分數]"
"Q105a",8042,33299,0.241508754016637,"【傳統音韻學】請指出以下中古聲母喺廣東話有機會對應做咩聲母：（音標係IPA） [微母（多選）] [分數]"
"Q105b",3383,33300,0.101591591591592,"【傳統音韻學】請指出以下中古聲母喺廣東話有機會對應做咩聲母：（音標係IPA） [並母（多選）] [分數]"
"Q105c",353,33567,0.0105162808710936,"【傳統音韻學】請指出以下中古聲母喺廣東話有機會對應做咩聲母：（音標係IPA） [溪母（多選）] [分數]"
"Q106",2091,35430,0.0590177815410669,"【傳統音韻學】以下邊啲字係濁上歸去嘅例子？（多選） [分數]"
"Q107",10100,36347,0.27787712878642,"【傳統音韻學】以下邊個講法係啱嘅？ [分數]"
"Q108",9662,36867,0.262077196408712,"【歷史語言學】「嘵」係19世紀廣東話所用嘅一個虛詞，以下邊一句係「嘵」嘅正確用法？ [分數]"
"Q109",15749,36447,0.432106894943342,"【歷史語言學】「𢬿」係19世紀廣東話所用嘅一個虛詞，以下邊一句係「𢬿」嘅正確用法？ [分數]"
"Q110",22222,37026,0.60017285150975,"【歷史語言學】以下邊個字喺19世紀嘅廣東話中同其他三個字唔同音？ [分數]"
"Q111",6048,36865,0.16405804964058,"【歷史語言學】以下邊個字喺19世紀嘅廣東話同其他三個字唔押韻？ [分數]"
"Q112",12172,36647,0.332141785139302,"【歷史語言學】以下邊個詞可能係粵語喺古代通過同壯侗語（泰語、壯語等語言嘅祖先）嘅接觸而得嚟嘅？ [分數]"
"Q113",2356,36476,0.0645904156157473,"【歷史語言學】以下邊個詞可能係粵語喺古代通過同壯侗語嘅接觸而得嚟嘅？（多選） [分數]"
"Q114",6676,37332,0.178827815279117,"【廣東話嘅鄰居】「土瓜灣」、「長沙灣」讀做waan4 （音︰環），而唔係waan1 （音︰彎）嘅可能原因係香港粵語受到______嘅影響。 [分數]"
"Q115",21529,37773,0.569957376962381,"【廣東話嘅鄰居】以下邊隻話都係粵語嘅分支？ [分數]"
"Q116",1174,36728,0.0319647135700283,"【廣東話嘅鄰居】以下邊個「方言片」係屬於粵語？（多選） [分數]"
"Q117",15215,37579,0.404880385321589,"【廣東話嘅鄰居】以下邊個詞亦見於粵語以外其他漢語？ [分數]"
